title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,441 ratings",In Stock
PlayStation 4 Slim 1TB Console,,4.4 out of 5 stars,"15,692 ratings",In Stock
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.4 out of 5 stars,51 ratings,In Stock
"Flagship Newest Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn 1TB HDD Dualshock 4 Wireless Controller -Jet Black",,4.5 out of 5 stars,203 ratings,Not Available
Sony PlayStation 4 500GB Premium Bundle (Renewed),,1.5 out of 5 stars,2 ratings,Not Available
PlayStation 4 Slim 500GB Console [Discontinued],,4.6 out of 5 stars,"1,894 ratings",Only 4 left in stock - order soon.
PlayStation 4 Console 500 GB (Renewed),,5.0 out of 5 stars,3 ratings,Not Available
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,,4.8 out of 5 stars,"6,463 ratings",Not Available
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,818 ratings",Not Available
WWE 2K24 - PlayStation 4,,4.6 out of 5 stars,51 ratings,In Stock
PlayStation 4 Slim 1TB Console - Black (Renewed),,4.1 out of 5 stars,"1,547 ratings",Only 5 left in stock - order soon.
PlayStation 4 500GB Console (Renewed),,4.0 out of 5 stars,"1,082 ratings",Only 1 left in stock - order soon.
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.2 out of 5 stars,"1,400 ratings",Only 5 left in stock - order soon.
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,343 ratings,Not Available
PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.6 out of 5 stars,65 ratings,Not Available
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.3 out of 5 stars,"1,388 ratings",Only 8 left in stock - order soon.
"Wireless Controller for PS4, Wired P-4 Pro Controller with Paddles, White P-4 Controller Accessories, P-4 Accessories Perfect Adaptive Full Version 4/4 Pro/Slim.",,4.8 out of 5 stars,120 ratings,In Stock
F1 24 - PlayStation 4,,Previous page of related Sponsored Products,,"This item will be released on May 31, 2024."
